# 1 5.000000000000e+00 1.000000000000e+00
w       0 1.000000000000e+00
w       1 1.000000000000e+00
*       1 4.781188152175e+00 1.730288853197e+00
w       2 1.000000000000e+00
*       2 4.977371487736e+00 2.941181816768e+00
w       3 1.000000000000e+00
*       3 2.736528100069e+00 1.751323870357e+00
w       4 1.000000000000e+00
*       4 2.218935366484e+00 5.720503206515e+00
w       5 1.000000000000e+00
*       5 6.083167649603e+00 1.732050943287e+00
w       6 1.000000000000e+00
*       6 5.576103630109e+00 5.840276813923e+00
w       7 1.000000000000e+00
*       7 5.709343676660e+00 1.732050717827e+00
w       8 1.000000000000e+00
*       8 5.405052081267e+00 3.159431552445e+00
w       9 1.000000000000e+00
*       9 4.810156195891e+00 1.719178980899e+00
w      10 1.000000000000e+00
*      10 4.373735006376e+00 3.600719415932e+00
w      11 1.000000000000e+00
*      11 5.411585384260e+00 1.730258316838e+00
w      12 1.000000000000e+00
*      12 5.376913184883e+00 2.817351562058e+00
w      13 1.000000000000e+00
*      13 3.948740232563e+00 1.725870198482e+00
w      14 1.000000000000e+00
*      14 4.390842083077e+00 3.681515274837e+00
w      15 1.000000000000e+00
*      15 3.062740598805e+00 1.731418460987e+00
w      16 1.000000000000e+00
*      16 2.539540225322e+00 4.954137380425e+00
w      17 1.000000000000e+00
*      17 2.804766026692e+00 1.732040372634e+00
w      18 1.000000000000e+00
*      18 3.237679049663e+00 6.963600960003e+00
w      19 1.000000000000e+00
*      19 5.377063530002e+00 1.732050807606e+00
w      20 1.000000000000e+00
*      20 5.500057280460e+00 2.871870076969e+00
w      21 1.000000000000e+00
*      21 5.142151500335e+00 1.697987373614e+00
w      22 1.000000000000e+00
*      22 5.614294632456e+00 6.094159558823e+00
w      23 1.000000000000e+00
*      23 3.450912234947e+00 1.732050818685e+00
w      24 1.000000000000e+00
*      24 3.830899315336e+00 7.469548494094e+00
w      25 1.000000000000e+00
*      25 5.147999982401e+00 1.732050807568e+00
w      26 1.000000000000e+00
*      26 5.413338648401e+00 3.069239459681e+00
w      27 1.000000000000e+00
*      27 5.663230589230e+00 1.712219897529e+00
w      28 1.000000000000e+00
*      28 5.459044735537e+00 2.852358710260e+00
w      29 1.000000000000e+00
*      29 4.559895511551e+00 1.707912789465e+00
w      30 1.000000000000e+00
*      30 4.687771693186e+00 2.745744588934e+00
w      31 1.000000000000e+00
*      31 2.533908368549e+00 1.762120914521e+00
w      32 1.000000000000e+00
*      32 2.292669533761e+00 3.201738285326e+00
w      33 1.000000000000e+00
*      33 4.349335015240e+00 1.738493317910e+00
w      34 1.000000000000e+00
*      34 4.820041879411e+00 3.989676290603e+00
w      35 1.000000000000e+00
*      35 4.541200099219e+00 1.731275132615e+00
w      36 1.000000000000e+00
*      36 4.962233044244e+00 3.592784408310e+00
w      37 1.000000000000e+00
*      37 4.992368683762e+00 1.728427600773e+00
w      38 1.000000000000e+00
*      38 5.493995956515e+00 5.925906431386e+00
w      39 1.000000000000e+00
*      39 3.656405367137e+00 1.732050821993e+00
w      40 1.000000000000e+00
*      40 3.920990796582e+00 8.233973103002e+00
w      41 1.000000000000e+00
*      41 4.774829714350e+00 1.732050807569e+00
w      42 1.000000000000e+00
*      42 4.876079168472e+00 2.855998712067e+00
w      43 1.000000000000e+00
*      43 4.876289879159e+00 1.694116275431e+00
w      44 1.000000000000e+00
*      44 5.271906767564e+00 3.235412950069e+00
w      45 1.000000000000e+00
*      45 4.359295362460e+00 1.724562349546e+00
w      46 1.000000000000e+00
*      46 4.882722680374e+00 5.075846001000e+00
w      47 1.000000000000e+00
*      47 3.164539379665e+00 1.732051670066e+00
w      48 1.000000000000e+00
*      48 3.639605356254e+00 6.430864580555e+00
w      49 1.000000000000e+00
*      49 4.183793372446e+00 1.732050805502e+00
w      50 1.000000000000e+00
*      50 4.453311732191e+00 3.077999774346e+00
w      51 1.000000000000e+00
*      51 5.030113133070e+00 1.715308487468e+00
w      52 1.000000000000e+00
*      52 5.292407022623e+00 2.967110435224e+00
w      53 1.000000000000e+00
*      53 4.359982169240e+00 1.715403265344e+00
w      54 1.000000000000e+00
*      54 4.473799491326e+00 2.774581227720e+00
w      55 1.000000000000e+00
*      55 5.517851917530e+00 1.707767992461e+00
w      56 1.000000000000e+00
*      56 5.101324041178e+00 3.416276590890e+00
w      57 1.000000000000e+00
*      57 2.288124724265e+00 1.738470949948e+00
w      58 1.000000000000e+00
*      58 1.816747345858e+00 3.995627722184e+00
w      59 1.000000000000e+00
*      59 6.139460503695e+00 1.732350374894e+00
w      60 1.000000000000e+00
*      60 5.822797381396e+00 7.938956227318e+00
w      61 1.000000000000e+00
*      61 5.148879146430e+00 1.732050807569e+00
w      62 1.000000000000e+00
*      62 5.146814958627e+00 2.823340959750e+00
w      63 1.000000000000e+00
*      63 6.062887524774e+00 1.706429515817e+00
w      64 1.000000000000e+00
*      64 5.651517964633e+00 3.382278092776e+00
w      65 1.000000000000e+00
*      65 1.723628402400e-01 1.726816976281e+00
w      66 1.000000000000e+00
*      66 6.720833274100e-01 4.233303912108e+00
w      67 1.000000000000e+00
*      67 1.174094435808e+00 1.731790939019e+00
w      68 1.000000000000e+00
*      68 1.470845710925e+00 3.138852067685e+00
w      69 1.000000000000e+00
*      69 6.209015877631e-01 1.721088609499e+00
w      70 1.000000000000e+00
*      70 8.600851534369e-01 2.956486448873e+00
w      71 1.000000000000e+00
*      71 4.271646689692e+00 1.760843353902e+00
w      72 1.000000000000e+00
*      72 4.795121771872e+00 5.278423403733e+00
w      73 1.000000000000e+00
*      73 4.045245044369e+00 1.732049301752e+00
w      74 1.000000000000e+00
*      74 4.565395161026e+00 4.750203499235e+00
w      75 1.000000000000e+00
*      75 3.854646492455e+00 1.732028763887e+00
w      76 1.000000000000e+00
*      76 3.384598878524e+00 3.936446823218e+00
w      77 1.000000000000e+00
*      77 5.110496620675e+00 1.732204834315e+00
w      78 1.000000000000e+00
*      78 5.534279486942e+00 3.614198024039e+00
w      79 1.000000000000e+00
*      79 3.653664597300e+00 1.733077697340e+00
w      80 1.000000000000e+00
*      80 3.235654289736e+00 7.133173078109e+00
w      81 1.000000000000e+00
*      81 4.726565391678e+00 1.732050807567e+00
w      82 1.000000000000e+00
