# 7 2.360572176889e-01 7.737120484019e-01 1.265773836282e+00 1.831026519245e+00 2.309377871733e+00 2.923057309817e+00 3.412525014428e+00 9.575323843638e-02 1.336572698215e-01 1.883118772741e-01 1.667902148058e-01 9.740342825419e-02 1.783680375952e-01 1.397159338128e-01
s     312 3
s     332 1
s    2393 0
s    3633 7
s    3888 2
s    4286 4
s   10393 8
s   14721 6
s   27086 5
*  549541 2.440552527145e+00 2.000000000000e+01 1.269318490954e+00 8.752772612724e-04 7.696341931752e-01 1.388456965642e-03 3.408547694100e+00 1.591370750472e-03 1.840541022746e+00 1.069080763776e-03 2.440552527145e+00 2.000000000000e+01 1.746772976980e+00 2.000000000000e+01 2.928762951158e+00 1.005204924771e-03 2.345984892013e-01 2.967769706986e-03
*  562342 6.049138453603e+00 2.000000000000e+01 1.269494119374e+00 8.647079960460e-04 7.695609435798e-01 1.368927915982e-03 3.408520562257e+00 1.569263572172e-03 1.840251392948e+00 1.056766430317e-03 6.045563073318e+00 2.000000000000e+01 1.746772976980e+00 2.000000000000e+01 2.928623785801e+00 9.942023657500e-04 2.347777029890e-01 2.954131866259e-03
*  575440 2.389031819946e+00 2.000000000000e+01 1.269563119397e+00 8.540637159960e-04 7.696205451466e-01 1.356577255783e-03 3.408938987647e+00 1.537851527287e-03 1.840393151096e+00 1.042444887442e-03 2.392678362347e+00 2.000000000000e+01 1.746772976980e+00 2.000000000000e+01 2.929063603955e+00 9.831724781380e-04 2.344102753312e-01 2.906445011899e-03
*  588844 1.355106956613e+00 2.000000000000e+01 1.269528918750e+00 8.440593076136e-04 7.694812919595e-01 1.341941320013e-03 3.408929109379e+00 1.522761162089e-03 1.840115732163e+00 1.030884939637e-03 1.351685067218e+00 2.000000000000e+01 1.746772976980e+00 2.000000000000e+01 2.928855466872e+00 9.716873794156e-04 2.333150327503e-01 2.867877913656e-03
*  602560 1.611620003899e+00 2.000000000000e+01 1.269798664523e+00 8.342532031140e-04 7.692590249887e-01 1.321747472269e-03 3.408651358903e+00 1.502900387931e-03 1.840109605567e+00 1.021158352917e-03 1.609604986600e+00 2.000000000000e+01 1.746772976980e+00 2.000000000000e+01 2.928836474448e+00 9.584811486380e-04 2.339777296518e-01 2.850541000522e-03
