# 1 5.000000000000e+00 1.000000000000e+00
w       0 1.000000000000e+00
w       1 1.000000000000e+00
*       1 6.374592811605e-01 2.548924410057e+00
w       2 1.000000000000e+00
*       2 5.410366536461e+00 2.559668508511e+00
w       3 1.000000000000e+00
*       3 3.974556353023e+00 2.679527356480e+00
w       4 1.000000000000e+00
*       4 4.982809028661e+00 2.553619157593e+00
w       5 1.000000000000e+00
*       5 1.859685835138e+00 3.018938871547e+00
w       6 1.000000000000e+00
*       6 4.915951464782e+00 2.731668269187e+00
w       7 1.000000000000e+00
*       7 4.839523666439e+00 2.437301334315e+00
w       8 1.000000000000e+00
*       8 4.510102944183e+00 2.289751410493e+00
w       9 1.000000000000e+00
*       9 4.730702137221e+00 2.147828304711e+00
w      10 1.000000000000e+00
*      10 3.989614486521e+00 2.254736587219e+00
w      11 1.000000000000e+00
*      11 4.043622496892e+00 2.086091056350e+00
w      12 1.000000000000e+00
*      12 4.811259255136e+00 2.208426233253e+00
w      13 1.000000000000e+00
*      13 5.212793903320e+00 2.136835916944e+00
w      14 1.000000000000e+00
*      14 1.732513264843e+00 4.008274054055e+00
w      15 1.000000000000e+00
*      15 5.232204087591e+00 2.637430934090e+00
w      16 1.000000000000e+00
*      16 4.049355622327e+00 2.598605591686e+00
w      17 1.000000000000e+00
*      17 5.176199072832e+00 2.579561088365e+00
w      18 1.000000000000e+00
*      18 3.866671553962e+00 2.635769887047e+00
w      19 1.000000000000e+00
*      19 5.173489691813e+00 2.632219140735e+00
w      20 1.000000000000e+00
*      20 1.640179911629e+00 2.941077763544e+00
w      21 1.000000000000e+00
*      21 8.678913198588e-01 2.573330247423e+00
w      22 1.000000000000e+00
*      22 5.501615767556e+00 2.605790944228e+00
w      23 1.000000000000e+00
*      23 1.826842491321e+00 2.952444388770e+00
w      24 1.000000000000e+00
*      24 4.812724894633e+00 2.754578453570e+00
w      25 1.000000000000e+00
*      25 5.226325974231e+00 2.484710940019e+00
w      26 1.000000000000e+00
*      26 5.165422579542e+00 2.287631231997e+00
w      27 1.000000000000e+00
*      27 4.196671201121e+00 2.451827129818e+00
w      28 1.000000000000e+00
*      28 4.972120949918e+00 2.416865270989e+00
w      29 1.000000000000e+00
*      29 4.952405689785e+00 2.230596711425e+00
w      30 1.000000000000e+00
*      30 4.787176778966e+00 2.050491184903e+00
w      31 1.000000000000e+00
*      31 4.097203953380e+00 2.154721655928e+00
w      32 1.000000000000e+00
*      32 4.915040488702e+00 2.283268653152e+00
w      33 1.000000000000e+00
*      33 4.954198189703e+00 2.115345085364e+00
w      34 1.000000000000e+00
*      34 4.970057547779e+00 1.938486039067e+00
w      35 1.000000000000e+00
*      35 5.161297408255e+00 1.788089480444e+00
w      36 1.000000000000e+00
*      36 5.288280948390e+00 1.592578023950e+00
w      37 1.000000000000e+00
*      37 5.018871497503e+00 1.306558212293e+00
w      38 1.000000000000e+00
*      38 4.980299259136e+00 9.927929272449e-01
w      39 1.000000000000e+00
*      39 5.221432614680e+00 1.299178311217e+00
w      40 1.000000000000e+00
*      40 5.114873588725e+00 9.772749441610e-01
w      41 1.000000000000e+00
*      41 5.113014343888e+00 6.940429054685e-01
w      42 1.000000000000e+00
*      42 5.322039476441e+00 6.195018538118e-01
w      43 1.000000000000e+00
*      43 5.135210718607e+00 7.275874029093e-01
w      44 1.000000000000e+00
*      44 5.393401696121e+00 7.089886465461e-01
w      45 1.000000000000e+00
*      45 5.243177269868e+00 4.903624849589e-01
w      46 1.000000000000e+00
*      46 5.206715961318e+00 6.317989373141e-01
w      47 1.000000000000e+00
*      47 5.433260911125e+00 6.277393446060e-01
w      48 1.000000000000e+00
*      48 5.406729327975e+00 6.953744503859e-01
w      49 1.000000000000e+00
*      49 5.413639153985e+00 7.606596049404e-01
w      50 1.000000000000e+00
*      50 5.174660261316e+00 1.028820735490e+00
w      51 1.000000000000e+00
*      51 4.698468771455e+00 1.119246737848e+00
w      52 1.000000000000e+00
*      52 4.819693003325e+00 8.544340947251e-01
w      53 1.000000000000e+00
*      53 5.221369231724e+00 1.979850473785e+00
w      54 1.000000000000e+00
*      54 5.448090958824e+00 1.848411037190e+00
w      55 1.000000000000e+00
*      55 4.292088557498e+00 2.725874336908e+00
w      56 1.000000000000e+00
*      56 5.201539133494e+00 2.549913209886e+00
w      57 1.000000000000e+00
*      57 1.733562605172e+00 3.028773526595e+00
w      58 1.000000000000e+00
*      58 4.816976185836e+00 2.728617042540e+00
w      59 1.000000000000e+00
*      59 1.773358147705e+00 2.860054849570e+00
w      60 1.000000000000e+00
*      60 3.974409662597e+00 2.698548166451e+00
w      61 1.000000000000e+00
*      61 1.818164994905e+00 2.736527929617e+00
w      62 1.000000000000e+00
*      62 4.802947909163e+00 2.864652804388e+00
w      63 1.000000000000e+00
*      63 4.928202984720e+00 2.501499167863e+00
w      64 1.000000000000e+00
*      64 4.851671526583e+00 2.294333684903e+00
w      65 1.000000000000e+00
*      65 5.134846300738e+00 2.177268876867e+00
w      66 1.000000000000e+00
*      66 1.647536794633e+00 3.839468017610e+00
w      67 1.000000000000e+00
*      67 1.682417355198e+00 2.629535605505e+00
w      68 1.000000000000e+00
*      68 5.135177789530e+00 2.901057103939e+00
w      69 1.000000000000e+00
*      69 5.032817517319e+00 2.508753303911e+00
w      70 1.000000000000e+00
*      70 4.951767659921e+00 2.300016867141e+00
w      71 1.000000000000e+00
*      71 3.994114195003e+00 2.451575886276e+00
w      72 1.000000000000e+00
*      72 4.773410729838e+00 2.416577111634e+00
w      73 1.000000000000e+00
*      73 5.023445582620e+00 2.261266003655e+00
w      74 1.000000000000e+00
*      74 5.415031668685e+00 2.180555518163e+00
w      75 1.000000000000e+00
*      75 5.023709700250e+00 2.012629529170e+00
w      76 1.000000000000e+00
*      76 5.248507107824e+00 1.882017741560e+00
w      77 1.000000000000e+00
*      77 1.815137901788e+00 5.995472761600e+00
w      78 1.000000000000e+00
*      78 3.896422765182e+00 2.635024957287e+00
w      79 1.000000000000e+00
*      79 5.080285225112e+00 2.598591842754e+00
w      80 1.000000000000e+00
*      80 4.949399602760e+00 2.360869973105e+00
w      81 1.000000000000e+00
*      81 5.322019208962e+00 2.254683985987e+00
w      82 1.000000000000e+00
